k,Word,SemSim,Include
0,terrible,0.714201807975769,
1,horrible,0.662506103515625,
2,good,0.655578851699829,f
3,shitty,0.581090867519379,
4,scary,0.571684718132019,
5,awful,0.567379236221314,
6,weird,0.560306072235107,
7,great,0.523385047912598,f
8,tough,0.509949326515198,
9,strange,0.509653866291046,
10,rough,0.502151787281036,
11,dumb,0.499811768531799,
12,bleak,0.494778573513031,
13,stupid,0.488127559423447,
14,horrific,0.485057801008225,
15,funny,0.482749223709106,
16,nasty,0.481933891773224,
17,horrendous,0.465668618679047,
18,silly,0.465009868144989,
19,badly,0.463204473257065,
20,grim,0.460278302431107,
21,foolish,0.454592972993851,
22,depressing,0.451421082019806,
23,sad,0.450615644454956,
24,dangerous,0.448032647371292,
25,cool,0.445317059755325,f
26,ugly,0.443426877260208,
27,horrid,0.442558288574219,
28,gnarly,0.44255667924881,
29,dire,0.43448805809021,
30,crappy,0.433029353618622,
31,crazy,0.424246221780777,
32,hopeless,0.422725647687912,
33,smart,0.419911563396454,
34,terrifying,0.418627709150314,
35,dicey,0.412743479013443,
36,bizarre,0.41271185874939,
37,harsh,0.412583529949188,
38,weak,0.411094933748245,
39,brutal,0.41092848777771,
40,awesome,0.409711092710495,
41,hard,0.403656214475632,
42,disappointing,0.39969989657402,
43,worrisome,0.399626046419144,
44,annoying,0.398669272661209,
45,freaky,0.398248314857483,
46,worse,0.396443039178848,
47,surreal,0.395567268133163,
48,risky,0.394868969917297,
49,well,0.394094049930573,
