k,Word,SemSim,Include,IncludeBak
0,weakness,0.508196651935577,,
1,callousness,0.456570506095886,,
2,hopelessness,0.450876384973526,,
3,disappointment,0.43898606300354,,
4,inhumanity,0.43093541264534,,
5,tragedy,0.428344130516052,,
6,entitlement,0.427953094244003,,f
7,accomplishment,0.427482157945633,,f
8,sorrow,0.418666332960129,,
9,selflessness,0.415708273649216,,f
10,indifference,0.414616912603378,,
11,hindrance,0.411904752254486,f,f
12,fuckup,0.411597192287445,f,f
13,abdication,0.411042541265488,,
14,annihilation,0.410782754421234,,
15,helplessness,0.409161329269409,,
16,powerlessness,0.408997267484665,,
17,hubris,0.405903071165085,,
18,irony,0.402623385190964,,
19,brotherhood,0.402610659599304,,
20,antithesis,0.398647308349609,,
21,cowardice,0.398299872875214,,
22,embarrassment,0.39653092622757,,
23,vindication,0.395399659872055,,
24,invincibility,0.394747495651245,,
25,bravery,0.394658982753754,,
26,loss,0.393867582082748,,
27,impotent,0.391401141881943,,
28,ignorance,0.388962537050247,,
29,crook,0.388794362545013,,
30,patriotism,0.388568997383118,,
31,arrogance,0.386677324771881,,
32,inaction,0.385399252176285,,
33,incompetency,0.385248184204102,,
34,calamity,0.385081201791763,,
35,failure,0.385063856840134,,
36,disinterest,0.384195059537888,,
37,greatness,0.38349187374115,,
38,sin,0.383015036582947,,
39,altruism,0.381823390722275,,
40,travesty,0.381736099720001,,
41,heresy,0.381665617227554,,
42,schadenfreude,0.379910200834274,,
43,misplaced,0.379439234733582,,
44,perpetrated,0.378691256046295,,
45,kindness,0.378370851278305,,
46,trickster,0.376960456371307,,
47,omission,0.376520097255707,,
48,decadence,0.376205384731293,,
49,recklessness,0.375113427639008,,
