k,Word,SemSim,Include,IncludeBak
0,devotion,0.548145890235901,,
1,patriotism,0.530560672283173,,
2,allegiance,0.529621660709381,,
3,obedience,0.483895987272263,,
4,integrity,0.477058321237564,,
5,bravery,0.472600400447845,,
6,commitment,0.468319326639175,,
7,identity,0.467141389846802,,f
8,generosity,0.462236255407333,,
9,loyal,0.455287963151932,,
10,ambition,0.453895568847656,f,f
11,dedication,0.453701436519623,,
12,competency,0.451253324747086,f,f
13,individuality,0.446991771459579,f,f
14,character,0.441471457481384,f,f
15,undying,0.439463049173355,,
16,selflessness,0.436705857515335,,
17,charisma,0.434565633535385,f,f
18,intellect,0.432166904211044,,
19,greatness,0.432065308094025,f,f
20,morals,0.427219480276108,,
21,compassion,0.424310505390167,,
22,fealty,0.421587735414505,,
23,pride,0.420749843120575,,
24,pettiness,0.419983148574829,,
25,desire,0.416670709848404,,
26,ideology,0.416344195604324,,
27,willingness,0.415396064519882,,
28,motivation,0.4145467877388,,
29,contempt,0.414459377527237,,
30,narcissism,0.4141985476017,,
31,hatred,0.413110464811325,,
32,reverence,0.412111937999725,,
33,altruism,0.409933239221573,,
34,idolatry,0.40958097577095,,
35,gratitude,0.407067716121674,,
36,disdain,0.407054126262665,,
37,competence,0.404995888471603,,
38,nepotism,0.404765158891678,,
39,unity,0.404135555028915,,
40,callousness,0.403369933366776,,
41,affection,0.401106536388397,,
42,courage,0.399973064661026,,
43,manliness,0.395722389221191,,
44,immorality,0.393108725547791,,
45,adoration,0.393001765012741,,
46,objectivity,0.392557442188263,,
47,idiocy,0.392496645450592,,
48,empathy,0.388581901788712,,
49,nationalism,0.388559013605118,,
