k,Word,SemSim,Include
0,terrible,0.655477344989777,
1,good,0.640731751918793,f
2,horrible,0.595623731613159,
3,shitty,0.531615197658539,
4,stupid,0.509075284004211,
5,nasty,0.484774976968765,
6,scary,0.483334362506866,
7,silly,0.477527141571045,
8,dumb,0.459159165620804,
9,weird,0.452783852815628,
10,awful,0.450887531042099,
11,crazy,0.448727548122406,
12,dangerous,0.44858518242836,
13,funny,0.443685680627823,f
14,tough,0.438024342060089,
15,smart,0.435979127883911,
16,cool,0.418313771486282,f
17,foolish,0.400296986103058,
18,weak,0.39966544508934,
19,crappy,0.391791105270386,
20,retarded,0.38513308763504,
21,ridiculous,0.375900149345398,
22,racist,0.375625133514404,
23,sad,0.372639387845993,
24,horrid,0.371921122074127,
25,ugly,0.368577241897583,
26,evil,0.36787286400795,
27,baaaad,0.367735862731934,
28,strange,0.367153614759445,
29,sketchy,0.364640474319458,
30,like,0.364290148019791,f
31,overdramatic,0.359732896089554,
32,worse,0.356427490711212,
33,sus,0.354984968900681,
34,bleak,0.354200303554535,
35,clever,0.352331846952438,f
36,unhealthy,0.350951641798019,
37,wierd,0.350561141967773,
38,bright,0.350113421678543,f
39,nutty,0.35000741481781,
40,horrendous,0.349727332592011,
41,naïve,0.349412232637405,
42,atrocious,0.348913490772247,
43,great,0.347180187702179,f
44,disgusting,0.346072047948837,
45,lame,0.345470279455185,
46,scummy,0.344951003789902,
47,gross,0.344372630119324,
48,incompetent,0.344093382358551,
49,hideous,0.343169003725052,
