k,Word,SemSim,Include,IncludeBak
0,enslavement,0.407270342111588,,f
1,abandonment,0.405930429697037,,
2,destabilization,0.402314275503159,,
3,creation,0.399162083864212,,f
4,duplicity,0.392001241445541,,f
5,destruction,0.390240490436554,,
6,embodiment,0.390048414468765,,f
7,nationalization,0.382707208395004,,
8,treachery,0.38243779540062,,
9,betraying,0.380486249923706,,
10,horrors,0.379567891359329,,
11,heroism,0.378780215978622,f,f
12,subjugation,0.378609567880631,,
13,demise,0.37802529335022,,
14,continuation,0.37426084280014,,
15,personification,0.374091774225235,f,f
16,expulsion,0.373311460018158,,
17,subversion,0.371283680200577,,
18,downfall,0.370665371417999,,
19,annexation,0.366593956947327,,
20,misdeeds,0.364171653985977,,
21,beneficiary,0.360446244478226,,
22,deception,0.359374493360519,,
23,ousting,0.358725637197495,,
24,repudiation,0.358626246452332,,
25,atrocity,0.357958972454071,,
26,plight,0.357064425945282,,
27,culmination,0.355139195919037,,
28,cornerstone,0.354942202568054,,
29,undoing,0.354622930288315,,
30,warcrimes,0.354414850473404,,
31,infiltration,0.352098524570465,,
32,complicity,0.351724237203598,,
33,redemption,0.347822308540344,,
34,perpetuation,0.347575753927231,,
35,undermining,0.347452282905579,,
36,mistreatment,0.346690028905869,,
37,evils,0.342651754617691,,
38,depravity,0.341810911893845,,
39,rejection,0.341521203517914,,
40,coverup,0.339624136686325,,
41,conquest,0.339014500379562,,
42,greatness,0.338613271713257,,
43,criminality,0.338309705257416,,
44,西藏,0.338193982839584,,
45,abuses,0.335849732160568,,
46,demonization,0.33522441983223,,
47,atrocities,0.334876894950867,,
48,enormity,0.334037989377975,,
49,dissolution,0.33362153172493,,
