k,Word,SemSim,Include
0,great,0.659062027931213,
1,bad,0.640731692314148,f
2,decent,0.606741845607758,
3,terrible,0.58613908290863,f
4,fantastic,0.557181358337402,
5,nice,0.552220523357391,
6,wonderful,0.510566234588623,
7,shitty,0.495954096317291,f
8,cool,0.494499921798706,
9,tough,0.485166311264038,f
10,awesome,0.482988357543945,
11,horrible,0.461660921573639,f
12,solid,0.453800439834595,
13,phenomenal,0.450176000595093,
14,brilliant,0.45014825463295,
15,better,0.444623559713364,
16,smart,0.440126955509186,
17,excellent,0.43716099858284,
18,rough,0.423748701810837,f
19,best,0.419247776269913,
20,clever,0.41262498497963,
21,silly,0.409520715475082,
22,perfect,0.409019529819489,
23,helpful,0.395279735326767,
24,ballsy,0.394788295030594,
25,crappy,0.39454597234726,
26,strong,0.393007010221481,
27,stupid,0.391386300325394,f
28,pleasant,0.387272566556931,
29,goood,0.387249946594238,
30,fair,0.385895222425461,
31,valid,0.385889083147049,
32,bleak,0.384591549634933,f
33,real,0.383731633424759,
34,interesting,0.378826767206192,
35,legit,0.377943575382233,
36,genuine,0.37309592962265,
37,compelling,0.367629081010819,
38,badass,0.367543548345566,
39,groovy,0.365899682044983,
40,entertaining,0.364163100719452,
41,simple,0.363576322793961,
42,dumb,0.362959712743759,f
43,scary,0.362585097551346,f
44,crazy,0.359524875879288,
45,lousy,0.358734428882599,f
46,commendable,0.358536541461945,f
47,sad,0.355650812387466,f
48,tricky,0.353319197893143,f
49,reasonable,0.351845264434814,
